RAND,EmployeeID,GRADE,GENDER,FUNCTION,OC_RATE,PERFORM,Y_GRADE,AGE,Y_SERVIC,Nationality,Rank2
0.639556,1,1,Male,Operations,1,2,1,48,6,Spain,74
0.473849,2,3,Female,Sales & Marketing,1,2,3,29,1,Germany,320
0.595082,3,5,Male,Strategy,1,3,1,31,5,Switzerland,66
0.686779,4,3,Male,HR,1,3,1,27,1,Germany,153
0.062197,5,1,Female,Sales & Marketing,1,3,4,36,1,Switzerland,460
0.662879,6,3,Male,Internal Services,1,2,3,49,0,Switzerland,339
0.570981,7,4,Male,Operations,1,2,3,47,0,Italy,335
0.476635,8,2,Female,HR,1,2,2,44,7,Switzerland,197
0.624551,9,1,Male,Sales & Marketing,1,2,3,43,4,United States,356
0.837201,10,1,Male,Internal Services,1,2,1,58,3,Switzerland,100
0.705518,11,3,Male,Operations,1,2,5,49,9,Switzerland,463
0.127719,12,2,Male,Strategy,1,2,3,43,7,France,341
0.07,13,2,Male,Operations,1,2,3,29,5,Germany,397
0.236955,14,1,Male,Operations,1,3,4,46,1,Switzerland,448
0.851486,15,1,Male,Internal Services,1,3,2,56,3,France,220
0.532847,16,3,Male,Strategy,1,2,3,41,5,Germany,249
0.453944,17,1,Male,Operations,1,2,1,48,8,Switzerland,55
0.126476,18,2,Female,Operations,0.8,3,0,29,4,Italy,47
0.079484,19,2,Male,Sales & Marketing,1,3,1,38,1,Switzerland,56
0.411506,20,2,Male,Operations,1,2,2,28,8,Germany,193
0.401297,21,4,Male,Strategy,1,3,1,34,1,Switzerland,106
0.932228,22,1,Male,Sales & Marketing,1,3,3,55,5,Switzerland,403
0.461614,23,5,Male,Internal Services,1,2,1,43,1,Switzerland,59
0.866429,24,2,Male,Sales & Marketing,1,2,1,36,6,United Kingdom,131
0.379232,25,3,Male,Operations,1,2,3,29,6,France,308
0.451861,26,1,Male,Internal Services,1,3,0,55,5,Switzerland,8
0.871876,27,2,Male,Internal Services,1,2,2,35,4,Switzerland,195
0.454695,28,2,Male,Sales & Marketing,1,3,0,53,4,Italy,36
0.346188,29,2,Female,Finance,1,2,3,51,4,Italy,364
0.584951,30,1,Male,Operations,1,3,3,61,8,Switzerland,412
0.178952,31,1,Male,Operations,1,2,2,52,7,Switzerland,166
0.490428,32,4,Male,Sales & Marketing,1,2,3,37,8,Switzerland,269
0.133119,33,3,Male,Sales & Marketing,1,3,3,58,6,Germany,309
0.196035,34,3,Female,Internal Services,1,2,3,29,6,Switzerland,277
0.748871,35,2,Male,Internal Services,1,3,1,35,1,Switzerland,136
0.09181,36,4,Male,Sales & Marketing,1,2,1,35,5,Portugal,92
0.997573,37,1,Male,Operations,1,3,4,40,8,Switzerland,433
0.159073,38,1,Male,Operations,1,3,3,48,0,Italy,416
0.016115,39,2,Male,Internal Services,1,2,0,46,5,Switzerland,44
0.624799,40,1,Male,Operations,1,3,0,49,1,Germany,45
0.09327,41,1,Male,Operations,1,3,2,40,5,France,224
0.507476,42,1,Male,Operations,1,3,2,53,2,Switzerland,211
0.781096,43,4,Male,Operations,1,2,1,33,2,Switzerland,71
0.189158,44,1,Male,Sales & Marketing,1,2,3,40,8,Italy,291
0.175362,45,5,Male,Internal Services,1,2,8,43,9,Switzerland,495
0.814089,46,1,Male,Internal Services,1,3,1,28,9,France,94
0.768482,47,3,Female,HR,1,3,3,46,4,France,330
0.958882,48,1,Male,Operations,1,2,2,53,9,France,162
0.819238,49,1,Female,HR,1,2,3,59,9,Switzerland,331
0.810238,50,1,Male,Operations,1,2,1,29,9,Austria,69
0.264896,51,3,Male,Operations,1,3,7,31,8,Switzerland,491
0.834679,52,3,Male,Sales & Marketing,1,2,3,26,8,France,264
0.271321,53,2,Male,Sales & Marketing,1,3,5,44,8,Switzerland,472
0.330715,54,3,Male,Operations,1,4,3,55,8,Switzerland,270
0.360366,55,1,Male,Sales & Marketing,1,2,3,45,8,Switzerland,255
0.547655,56,1,Male,Sales & Marketing,1,3,0,54,0,Switzerland,18
0.829097,57,3,Female,Sales & Marketing,1,4,3,50,4,United Kingdom,340
0.586298,58,3,Male,Operations,1,4,2,50,2,Switzerland,230
0.599958,59,1,Male,Operations,1,2,0,56,1,Switzerland,28
0.258594,60,1,Male,Operations,1,2,0,45,4,France,13
0.357231,61,1,Female,Sales & Marketing,1,2,3,54,4,France,271
0.971664,62,2,Female,Operations,0.8,3,1,30,8,Switzerland,102
0.391867,63,1,Male,Sales & Marketing,1,2,1,23,1,United States,155
0.699261,64,5,Male,Sales & Marketing,1,1,3,33,9,Switzerland,327
0.536478,65,5,Female,Sales & Marketing,1,3,3,42,4,France,365
0.060752,66,4,Female,Sales & Marketing,1,2,3,39,9,Switzerland,252
0.567795,67,5,Male,Operations,1,2,2,45,8,Denmark,238
0.129075,68,2,Male,Sales & Marketing,1,3,3,46,6,Switzerland,274
0.69804,69,1,Female,Operations,1,3,1,58,2,United Kingdom,78
0.364163,70,2,Male,Sales & Marketing,1,3,0,48,3,Switzerland,38
0.309068,71,3,Female,Operations,1,2,2,27,9,Switzerland,183
0.462964,72,2,Female,Operations,1,2,1,29,4,France,111
0.522174,73,5,Male,Operations,1,2,4,49,0,Switzerland,430
0.066554,74,2,Female,Sales & Marketing,0.8,2,2,44,3,Switzerland,182
0.846878,75,1,Male,Sales & Marketing,1,2,3,54,6,Switzerland,293
0.089704,76,4,Female,Internal Services,1,2,3,34,8,Switzerland,288
0.642392,77,4,Male,Sales & Marketing,1,2,1,33,9,Germany,159
0.97449,78,2,Female,Sales & Marketing,0.7,3,3,32,8,Switzerland,305
0.916944,79,1,Male,Sales & Marketing,1,2,4,55,0,Germany,457
0.627793,80,2,Female,Operations,0.5,3,2,40,6,France,214
0.422722,81,5,Male,Operations,1,2,2,42,7,Switzerland,207
0.812119,82,1,Male,Internal Services,1,3,2,38,5,Switzerland,173
0.01528,83,1,Male,Operations,1,2,3,41,7,Switzerland,396
0.708462,84,1,Female,Operations,1,3,5,53,6,France,464
0.205179,85,5,Male,Internal Services,1,2,3,41,3,France,267
0.180066,86,1,Male,Sales & Marketing,1,2,3,35,9,Switzerland,260
0.461846,87,6,Male,Internal Services,1,2,3,38,9,Switzerland,336
0.722707,88,2,Male,HR,1,3,2,35,3,Switzerland,242
0.123688,89,4,Male,Internal Services,1,2,1,37,0,Germany,90
0.809104,90,2,Male,Sales & Marketing,1,2,3,38,9,Switzerland,325
0.798481,91,3,Male,Operations,1,3,4,32,5,Germany,447
0.891804,92,1,Male,Operations,1,2,1,51,4,Switzerland,138
0.755783,93,5,Male,Sales & Marketing,1,3,0,36,6,Switzerland,40
0.269526,94,3,Male,Operations,1,2,3,45,3,Switzerland,375
0.589483,95,4,Male,Operations,1,3,1,29,8,Germany,84
0.959064,96,1,Male,Operations,1,2,1,56,9,France,62
0.1057,97,3,Female,HR,1,2,0,41,3,Switzerland,23
0.895884,98,5,Male,Operations,1,2,5,39,9,Switzerland,478
0.511824,99,1,Female,Sales & Marketing,1,2,0,57,2,France,25
0.70528,100,4,Male,Internal Services,1,3,4,30,6,Germany,423
0.870494,101,1,Female,Sales & Marketing,1,2,0,35,4,Germany,29
0.643267,102,3,Female,Operations,1,3,1,61,1,Israel,82
0.872765,103,1,Male,Sales & Marketing,1,3,3,40,5,France,405
0.371276,104,2,Male,Sales & Marketing,1,2,3,33,5,Switzerland,279
0.608518,105,3,Male,Sales & Marketing,1,2,0,49,0,France,17
0.610579,106,5,Male,Sales & Marketing,1,2,3,38,3,Germany,318
0.934117,107,1,Female,Operations,1,3,3,50,9,Switzerland,399
0.926241,108,4,Male,Operations,1,1,2,39,6,France,209
0.025848,109,1,Male,Sales & Marketing,1,3,3,50,0,Switzerland,338
0.477617,110,2,Male,Internal Services,1,3,3,34,4,Switzerland,329
0.546725,111,2,Male,Finance,1,4,1,33,0,Germany,118
0.316368,112,1,Female,Operations,1,2,2,30,4,Switzerland,168
0.188558,113,5,Male,Strategy,1,3,3,30,8,Austria,362
0.634873,114,3,Male,Sales & Marketing,1,3,3,48,7,Switzerland,391
0.354732,115,5,Male,Finance,1,3,3,38,6,Switzerland,310
0.384132,116,2,Male,Sales & Marketing,1,2,1,37,1,France,101
0.119095,117,3,Male,Internal Services,1,2,1,52,7,France,97
0.267547,118,4,Female,Sales & Marketing,1,2,4,31,8,Switzerland,439
0.414563,119,1,Female,Operations,0.8,3,3,39,8,France,294
0.46402,120,3,Male,Sales & Marketing,1,2,2,44,6,Switzerland,176
0.599293,121,1,Male,Operations,1,4,3,40,9,Switzerland,250
0.410629,122,4,Male,Sales & Marketing,1,2,1,31,5,Switzerland,142
0.85373,123,1,Female,Sales & Marketing,1,2,2,43,9,Lebanon,169
0.215372,124,1,Male,Operations,1,3,3,41,5,Switzerland,401
0.570329,125,4,Male,Operations,1,3,7,40,0,Switzerland,493
0.640736,126,1,Female,Internal Services,0.8,3,2,54,0,Germany,213
0.129553,127,6,Male,Finance,1,2,1,54,3,Germany,79
0.442138,128,6,Male,Strategy,1,3,2,38,2,Switzerland,233
0.050925,129,1,Male,Operations,1,2,9,36,9,Switzerland,500
0.009585,130,1,Female,Sales & Marketing,1,2,3,45,9,Germany,307
0.643821,131,1,Male,Sales & Marketing,1,2,1,33,2,Switzerland,53
0.997969,132,1,Male,Internal Services,1,1,3,28,4,Germany,418
0.207358,133,3,Female,Operations,1,2,0,49,2,France,49
0.205833,134,3,Male,Sales & Marketing,1,3,6,34,8,France,490
0.604203,135,1,Female,Operations,0.7,3,0,45,7,Switzerland,1
0.29941,136,1,Male,Operations,1,2,0,43,3,Switzerland,32
0.178194,137,5,Male,Sales & Marketing,1,3,0,31,1,Italy,50
0.430455,138,1,Female,HR,1,2,0,38,4,Sweden,5
0.579164,139,1,Male,Sales & Marketing,1,3,4,41,9,Italy,452
0.640388,140,4,Male,Sales & Marketing,1,3,3,38,9,Switzerland,369
0.42722,141,4,Male,Operations,1,2,3,49,9,Switzerland,268
0.115231,142,4,Male,Operations,1,2,0,48,0,Switzerland,39
0.622405,143,1,Female,Operations,0.5,2,1,60,3,Switzerland,115
0.250665,144,6,Male,Strategy,1,3,2,41,0,Italy,201
0.924077,145,3,Male,Sales & Marketing,1,2,2,56,1,Spain,222
0.417712,146,1,Male,Sales & Marketing,1,3,3,46,9,France,372
0.967955,147,3,Female,Operations,1,2,4,45,0,France,445
0.063592,148,1,Male,Operations,1,3,2,35,7,Switzerland,161
0.552885,149,3,Male,Sales & Marketing,1,2,2,44,5,Germany,245
0.010147,150,4,Male,Operations,1,2,2,32,4,Switzerland,204
0.730857,151,2,Male,Sales & Marketing,1,2,2,55,4,Italy,180
0.844591,152,5,Male,HR,1,3,3,37,3,Russia,344
0.638396,153,4,Female,Sales & Marketing,1,2,4,36,0,Switzerland,451
0.324433,154,1,Male,Operations,1,2,1,35,9,Switzerland,125
0.909434,155,1,Female,Operations,1,2,2,46,6,Switzerland,170
0.908078,156,1,Male,Internal Services,1,2,2,41,8,Italy,244
0.806174,157,2,Female,Operations,0.9,3,3,50,0,Switzerland,355
0.763108,158,1,Male,Internal Services,1,3,3,43,8,Switzerland,273
0.856378,159,4,Male,Sales & Marketing,1,2,1,42,3,Germany,89
0.671427,160,4,Male,Sales & Marketing,1,2,3,40,3,Switzerland,292
0.491275,161,3,Male,Operations,1,2,6,27,9,Switzerland,486
0.95256,162,1,Male,Operations,1,2,1,58,4,France,113
0.929631,163,3,Male,Finance,1,2,1,32,2,Switzerland,96
0.851317,164,2,Male,Operations,1,4,1,52,9,Netherlands,58
0.19019,165,1,Female,Operations,1,2,1,31,5,France,133
0.913495,166,2,Male,Sales & Marketing,1,2,3,29,7,Switzerland,346
0.620975,167,5,Male,Internal Services,1,2,1,36,3,Germany,105
0.21717,168,2,Male,Sales & Marketing,1,2,3,33,9,France,414
0.495001,169,2,Female,Sales & Marketing,1,2,3,42,7,France,419
0.153323,170,3,Male,Sales & Marketing,1,3,2,24,2,Switzerland,208
0.93708,171,3,Female,Sales & Marketing,0.8,2,2,29,9,Italy,202
0.40916,172,4,Male,HR,1,2,3,40,4,Switzerland,402
0.972202,173,2,Female,Operations,0.4,2,3,41,7,Italy,317
0.862768,174,5,Male,Operations,1,2,1,52,9,France,76
0.586616,175,3,Male,Finance,1,2,0,50,4,Switzerland,3
0.90544,176,4,Female,Internal Services,1,2,0,30,4,France,4
0.258026,177,3,Male,Operations,1,3,1,44,5,Spain,127
0.250051,178,2,Male,Internal Services,0.9,3,5,39,9,Switzerland,461
0.283023,179,3,Male,Sales & Marketing,1,3,3,55,5,Germany,275
0.389561,180,4,Male,HR,1,3,3,39,4,Switzerland,265
0.911007,181,2,Female,Operations,1,2,1,35,8,Italy,139
0.476974,182,1,Female,Internal Services,1,2,2,47,8,Germany,194
0.73061,183,2,Female,Operations,0.6,2,3,36,1,United States,387
0.205871,184,1,Male,Internal Services,1,2,3,36,0,Switzerland,358
0.904828,185,1,Male,Sales & Marketing,1,3,7,56,0,Germany,492
0.75035,186,1,Male,Operations,1,3,1,37,8,Germany,134
0.521395,187,2,Male,Sales & Marketing,1,2,3,49,1,China,297
0.293992,188,2,Male,Sales & Marketing,1,2,4,40,9,Switzerland,425
0.207225,189,1,Male,Operations,1,2,3,55,4,Switzerland,323
0.342524,190,2,Female,Operations,1,1,1,49,9,Switzerland,67
0.432691,191,2,Male,Sales & Marketing,1,2,3,45,9,Switzerland,407
0.917793,192,5,Male,Operations,1,3,3,43,0,Switzerland,246
0.023895,193,3,Male,Operations,1,1,3,54,5,France,351
0.372339,194,1,Male,Internal Services,1,2,1,60,0,Switzerland,68
0.287173,195,2,Male,Operations,1,2,2,36,2,Switzerland,219
0.361392,196,4,Male,Operations,1,3,3,44,0,Switzerland,404
0.911611,197,1,Male,Finance,1,2,5,39,5,France,481
0.746385,198,1,Male,Sales & Marketing,1,2,2,34,2,Switzerland,163
0.378518,199,1,Male,Internal Services,1,3,1,31,5,Switzerland,158
0.453612,200,2,Male,Operations,1,2,2,44,9,Italy,181
0.176079,201,2,Female,HR,1,2,2,25,0,France,205
0.47636,202,3,Male,Internal Services,1,3,2,40,8,United States,179
0.495906,203,1,Male,Operations,1,3,1,50,1,Germany,137
0.943508,204,1,Male,Sales & Marketing,1,1,3,53,0,Switzerland,334
0.118304,205,4,Male,Sales & Marketing,1,2,4,46,1,Switzerland,455
0.841858,206,3,Male,Finance,1,3,2,57,5,United Kingdom,235
0.923563,207,5,Male,Internal Services,1,2,3,32,0,Switzerland,417
0.692428,208,1,Male,Internal Services,1,3,3,57,9,Switzerland,410
0.364275,209,1,Female,Operations,1,2,1,59,1,Germany,116
0.473978,210,3,Female,Sales & Marketing,1,2,9,25,9,Switzerland,497
0.44874,211,1,Male,Operations,1,3,5,53,7,Switzerland,471
0.590835,212,2,Male,Sales & Marketing,1,3,2,41,0,Switzerland,226
0.762995,213,5,Female,HR,1,2,1,40,2,Switzerland,119
0.877679,214,1,Female,Sales & Marketing,1,3,5,60,0,France,482
0.86051,215,4,Male,Operations,1,2,1,41,9,Switzerland,126
0.157682,216,2,Male,Operations,1,2,2,36,9,France,165
0.190708,217,1,Female,Sales & Marketing,1,3,4,41,6,Switzerland,428
0.895559,218,2,Male,Sales & Marketing,1,3,3,57,7,Switzerland,378
0.156453,219,4,Male,Operations,1,3,3,41,0,Switzerland,295
0.615434,220,2,Male,Sales & Marketing,1,2,1,38,9,Germany,65
0.209709,221,2,Male,Strategy,1,2,4,38,0,Switzerland,459
0.647734,222,6,Male,Strategy,1,2,3,40,8,Switzerland,367
0.465262,223,2,Male,Sales & Marketing,1,2,1,44,9,Switzerland,140
0.572743,224,4,Male,Internal Services,1,3,5,34,9,Germany,470
0.970391,225,2,Male,Sales & Marketing,1,1,1,46,6,Romania,129
0.177946,226,1,Male,Sales & Marketing,1,3,3,55,6,Switzerland,248
0.141229,227,3,Male,Sales & Marketing,1,2,3,51,9,Switzerland,337
0.644574,228,3,Male,Internal Services,1,3,3,42,4,Switzerland,389
0.837864,229,4,Male,Internal Services,1,2,4,34,4,Switzerland,440
0.27184,230,1,Male,Operations,1,2,3,44,1,Switzerland,381
0.929649,231,4,Male,Finance,1,2,3,34,4,France,302
0.770805,232,1,Male,Operations,1,2,3,37,5,Spain,377
0.285177,233,1,Female,Strategy,0.8,2,3,44,0,Switzerland,258
0.183574,234,2,Female,Operations,1,2,1,47,8,Germany,91
0.033425,235,3,Male,Internal Services,1,2,3,48,6,Switzerland,393
0.88387,236,1,Female,Sales & Marketing,1,3,3,46,4,Switzerland,360
0.36435,237,2,Male,Operations,1,3,0,33,5,Switzerland,16
0.031052,238,1,Female,Operations,1,2,3,46,0,France,390
0.499774,239,3,Male,Sales & Marketing,1,3,2,31,6,Italy,236
0.643875,240,1,Male,Operations,1,2,5,29,9,Italy,462
0.45619,241,3,Female,Internal Services,1,2,1,56,2,Switzerland,77
0.88813,242,2,Male,Internal Services,1,2,1,37,2,France,51
0.384506,243,5,Male,Operations,1,2,3,36,8,Switzerland,322
0.229831,244,4,Male,Sales & Marketing,1,3,3,43,9,United Kingdom,315
0.66212,245,2,Female,Operations,0.7,3,3,44,4,Switzerland,413
